Version,Model,source,country,group,DateoA,WoAi,YoAi,WoDi,YoDi,wk2,zscore,DOTz,Spring,Automn,FLAG,k,ARL0,h
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,25,2010,2010-25,-.9941977,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,26,2010,2010-26,.3739991,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,27,2010,2010-27,-.4157988,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,28,2010,2010-28,-.9919865,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,29,2010,2010-29,-.9912466,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,30,2010,2010-30,.1221115,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,31,2010,2010-31,-.6951514,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,32,2010,2010-32,.8699017,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,33,2010,2010-33,-.1386888,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,34,2010,2010-34,.6295475,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
